pipeline,query,rank,document_id,similarity,document_preview,relevant,label_source,precision@5,recall@5,reciprocal_rank
A — Minimal,medical image classification,1,18971,0.4284784448482034,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The environmental classification system was develo,0,content reviewed,,,
A — Minimal,medical image classification,2,8370,0.2153302387944456,"What is a Online Medical Second Opinion? For over 25 years, patients and families have looked to We Care India for medical advice and treatment. Now you may consult with our world-renowned physicians from the comfort of your home utilizing ",0,content reviewed,,,
A — Minimal,medical image classification,3,190,0.21507125089160736,"This title is a comprehensive account of the key aspects of medical leadership. A highly accessible, text book-style resource, it explores how the medical profession has evolved in tandem with administrative and structural aspects of the NH",0,content reviewed,,,
A — Minimal,medical image classification,4,12982,0.2089641644878104,"Sad moments, those when we feel bad, can be clearly represented by a picture or an image that is able to transmit everybody the message of desolation, indifference or suffering we want to give. Here there are some sad images that I'm sure y",0,content reviewed,,,
A — Minimal,medical image classification,5,27781,0.2040717035275444,❶Press Officer Resume Sample. Based on your requirements and skills you can shuffle these sections in the resume. Consults reference books and material including Internet to verify information before report is sent with a blank Investigates,0,content reviewed,,,
A — Minimal,transformer language model,1,27936,0.2907182241365737,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of the problems, can I bypass the transformer/circuit board ??",0,content reviewed,,,
A — Minimal,transformer language model,2,25428,0.21833836424262737,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick a different language for your entire pho",0,content reviewed,,,
A — Minimal,transformer language model,3,24482,0.21449691268889823,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. In 2004, my family and some other familie",0,content reviewed,,,
A — Minimal,transformer language model,4,701,0.20733441053656843,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently working in the department. The Program in Te",0,content reviewed,,,
A — Minimal,transformer language model,5,4075,0.19488979300352924,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language is preferred. The Spanish language inst",0,content reviewed,,,
A — Minimal,deep learning healthcare,1,11979,0.3159373762207631,"Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broaden their knowledge, expand their expertis",0,content reviewed,,,
A — Minimal,deep learning healthcare,2,9252,0.29988253080673943,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, MA, MPP, formerly of the Kaiser Family F",0,content reviewed,,,
A — Minimal,deep learning healthcare,3,11119,0.28226773403783867,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analysis using appropriate Big Data analytics ,0,content reviewed,,,
A — Minimal,deep learning healthcare,4,3370,0.23384593279691976,"These two healthcare REITs are trading for dirt-cheap valuations despite high dividends and a solid history of growth. Investing in real estate investment trusts, or REITs, is one of the best ways to enjoy high dividends and the potential f",0,content reviewed,,,
A — Minimal,deep learning healthcare,5,9229,0.2198877209016443,"Influence Health, the healthcare industry’s leading consumer experience solution provider, congratulates leading provider organizations for earning prestigious eHealthcare Leadership Awards. These winning healthcare organizations stood out ",0,content reviewed,,,
A — Minimal,natural language processing,1,8705,0.3718768074274547,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in the Official Gazette. In the Food Safety ",0,content reviewed,,,
A — Minimal,natural language processing,2,25428,0.31038381940962395,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick a different language for your entire pho",0,content reviewed,,,
A — Minimal,natural language processing,3,24482,0.304922917430902,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. In 2004, my family and some other familie",0,content reviewed,,,
A — Minimal,natural language processing,4,701,0.2947409011724155,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently working in the department. The Program in Te",0,content reviewed,,,
A — Minimal,natural language processing,5,4075,0.2770499748233275,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language is preferred. The Spanish language inst",0,content reviewed,,,
A — Minimal,climate change policy,1,19142,0.5864312985009517,"Reduce short-lived climate change or even this essay. Should we should trust the following feb 27, written is a significant. One of global warming trout streams about article. Believes climate change, oceanography one of the greenhouse effe",0,content reviewed,0.8,1.0,0.5
A — Minimal,climate change policy,2,2231,0.49432875047320357,The Rupa Lake Cooperative in Nepal. Credit: Bioversity International / B. Saugat. Sourced through Flickr. Responding to the impacts of climate change effectively at national policy and local planning level requires robust and comprehensive ,1,content reviewed,0.8,1.0,0.5
A — Minimal,climate change policy,3,9209,0.4317296524346232,Climate Change Denial: Why It can Be Hugely Influential? You are here: Home / Hello Earth / Climate Change Denial: Why It can Be Hugely Influential? Climate change is a real thread for those who directly affected by it. In example people in,1,content reviewed,0.8,1.0,0.5
A — Minimal,climate change policy,4,11682,0.4006384217095514,"The existential threats to people and the environment from climate change are increasingly well understood. NOAA’s 27th annual State of the Climate report revealed record-setting climate change indicators in 2016, resulting in extreme globa",1,content reviewed,0.8,1.0,0.5
A — Minimal,climate change policy,5,21770,0.378965847863558,"See this article detailing that arctic sea ice right now is below the mean of ice extent for even the 2000’s, (not to mention previous decades), with 53 days to go before the minimum for the year will be reached. Another wake up call in a l",1,content reviewed,0.8,1.0,0.5
A — Minimal,software development tools,1,2856,0.5178054104016852,The document Software Development Basics gives you an overview of the whole software development process including subjects like Software Engineering and Software Project Management in order to get the whole picture. Software development si,1,content reviewed,0.4,0.6666666666666666,1.0
A — Minimal,software development tools,2,7309,0.29133383970788224,"With the improvement of digital cameras as well as the home photo printers, demands for photo editing software is rising high. It helps the households to maintain the family photos organized with out requirement of any massive learning curv",0,content reviewed,0.4,0.6666666666666666,1.0
